# PC-SAFT-Titan -- Daniel Cordier
# https://www.researchgate.net/profile/Daniel_Cordier
# http://orcid.org/0000-0003-4515-6271
#
# Computation date: 07/07/2021 -- 20h 49min 18s
# Temperature:   120.00 K
# Species 1: N2    
# Species 2: CH4   
#
# yN2 (vap)      P (bar)      
  7.6353864E-01  7.8955893E+00
  7.6380306E-01  7.9038339E+00
  7.6406684E-01  7.9120744E+00
  7.6432997E-01  7.9203108E+00
  7.6459245E-01  7.9285431E+00
  7.6485429E-01  7.9367714E+00
  7.6511550E-01  7.9449956E+00
  7.6537606E-01  7.9532157E+00
  7.6563600E-01  7.9614318E+00
  7.6589530E-01  7.9696438E+00
  7.6615397E-01  7.9778517E+00
  7.6641202E-01  7.9860556E+00
  7.6666944E-01  7.9942554E+00
  7.6692624E-01  8.0024512E+00
  7.6718242E-01  8.0106430E+00
  7.6743799E-01  8.0188307E+00
  7.6769294E-01  8.0270144E+00
  7.6794728E-01  8.0351941E+00
  7.6820101E-01  8.0433698E+00
  7.6845413E-01  8.0515414E+00
  7.6870665E-01  8.0597091E+00
  7.6895856E-01  8.0678727E+00
  7.6920988E-01  8.0760323E+00
  7.6946059E-01  8.0841880E+00
  7.6971072E-01  8.0923396E+00
  7.6996024E-01  8.1004872E+00
  7.7020918E-01  8.1086309E+00
  7.7045753E-01  8.1167706E+00
  7.7070529E-01  8.1249063E+00
  7.7095247E-01  8.1330380E+00
  7.7119906E-01  8.1411658E+00
  7.7144508E-01  8.1492896E+00
  7.7169052E-01  8.1574095E+00
  7.7193538E-01  8.1655254E+00
  7.7217967E-01  8.1736374E+00
  7.7242339E-01  8.1817454E+00
  7.7266654E-01  8.1898494E+00
  7.7290913E-01  8.1979496E+00
  7.7315115E-01  8.2060458E+00
  7.7339260E-01  8.2141381E+00
  7.7363350E-01  8.2222264E+00
  7.7387384E-01  8.2303109E+00
  7.7411362E-01  8.2383914E+00
  7.7435285E-01  8.2464680E+00
  7.7459153E-01  8.2545408E+00
  7.7482966E-01  8.2626096E+00
  7.7506723E-01  8.2706745E+00
  7.7530427E-01  8.2787356E+00
  7.7554076E-01  8.2867927E+00
  7.7577671E-01  8.2948460E+00
  7.7601212E-01  8.3028954E+00
  7.7624699E-01  8.3109409E+00
  7.7648133E-01  8.3189825E+00
  7.7671513E-01  8.3270203E+00
  7.7694840E-01  8.3350542E+00
  7.7718114E-01  8.3430843E+00
  7.7741336E-01  8.3511105E+00
  7.7764505E-01  8.3591329E+00
  7.7787621E-01  8.3671514E+00
  7.7810686E-01  8.3751661E+00
  7.7833698E-01  8.3831770E+00
  7.7856659E-01  8.3911840E+00
  7.7879568E-01  8.3991872E+00
  7.7902425E-01  8.4071866E+00
  7.7925232E-01  8.4151821E+00
  7.7947987E-01  8.4231739E+00
  7.7970692E-01  8.4311618E+00
  7.7993345E-01  8.4391460E+00
  7.8015949E-01  8.4471263E+00
  7.8038502E-01  8.4551029E+00
  7.8061005E-01  8.4630756E+00
  7.8083458E-01  8.4710446E+00
  7.8105861E-01  8.4790098E+00
  7.8128215E-01  8.4869712E+00
  7.8150520E-01  8.4949289E+00
  7.8172775E-01  8.5028827E+00
  7.8194981E-01  8.5108329E+00
  7.8217139E-01  8.5187792E+00
  7.8239247E-01  8.5267218E+00
  7.8261308E-01  8.5346607E+00
  7.8283320E-01  8.5425958E+00
  7.8305283E-01  8.5505271E+00
  7.8327199E-01  8.5584547E+00
  7.8349067E-01  8.5663786E+00
  7.8370888E-01  8.5742988E+00
  7.8392661E-01  8.5822152E+00
  7.8414387E-01  8.5901279E+00
  7.8436065E-01  8.5980369E+00
  7.8457697E-01  8.6059422E+00
  7.8479282E-01  8.6138437E+00
  7.8500820E-01  8.6217416E+00
  7.8522312E-01  8.6296358E+00
  7.8543758E-01  8.6375263E+00
  7.8565157E-01  8.6454130E+00
  7.8586511E-01  8.6532961E+00
