# PC-SAFT-Titan -- Daniel Cordier
# https://www.researchgate.net/profile/Daniel_Cordier
# http://orcid.org/0000-0003-4515-6271
#
# Computation date: 07/07/2021 -- 20h 49min 18s
# Temperature:   120.00 K
# Species 1: N2    
# Species 2: CH4   
#
# xN2 (liq)      P (bar)      
  2.2625975E-01  8.4551029E+00
  2.2659283E-01  8.4630756E+00
  2.2692591E-01  8.4710446E+00
  2.2725899E-01  8.4790098E+00
  2.2759206E-01  8.4869712E+00
  2.2792514E-01  8.4949289E+00
  2.2825822E-01  8.5028827E+00
  2.2859130E-01  8.5108329E+00
  2.2892437E-01  8.5187792E+00
  2.2925745E-01  8.5267218E+00
  2.2959053E-01  8.5346607E+00
  2.2992361E-01  8.5425958E+00
  2.3025669E-01  8.5505271E+00
  2.3058976E-01  8.5584547E+00
  2.3092284E-01  8.5663786E+00
  2.3125592E-01  8.5742988E+00
  2.3158900E-01  8.5822152E+00
  2.3192207E-01  8.5901279E+00
  2.3225515E-01  8.5980369E+00
  2.3258823E-01  8.6059422E+00
  2.3292131E-01  8.6138437E+00
  2.3325438E-01  8.6217416E+00
  2.3358746E-01  8.6296358E+00
  2.3392054E-01  8.6375263E+00
  2.3425362E-01  8.6454130E+00
  2.3458670E-01  8.6532961E+00
