# PC-SAFT-Titan -- Daniel Cordier
# https://www.researchgate.net/profile/Daniel_Cordier
# http://orcid.org/0000-0003-4515-6271
#
# Computation date: 07/07/2021 -- 20h 48min 42s
# Temperature:   115.00 K
# Species 1: N2    
# Species 2: CH4   
#
# xN2 (liq)      P (bar)      
  1.1234718E-01  4.2496069E+00
  1.1268026E-01  4.2573650E+00
  1.1301334E-01  4.2651181E+00
  1.1334642E-01  4.2728664E+00
  1.1367949E-01  4.2806098E+00
  1.1401257E-01  4.2883484E+00
  1.1434565E-01  4.2960821E+00
  1.1467873E-01  4.3038110E+00
  1.1501180E-01  4.3115351E+00
  1.1534488E-01  4.3192543E+00
  1.1567796E-01  4.3269686E+00
  1.1601104E-01  4.3346782E+00
  1.1634411E-01  4.3423829E+00
  1.1667719E-01  4.3500828E+00
  1.1701027E-01  4.3577780E+00
  1.1734335E-01  4.3654683E+00
  1.1767643E-01  4.3731538E+00
  1.1800950E-01  4.3808345E+00
  1.1834258E-01  4.3885104E+00
  1.1867566E-01  4.3961815E+00
  1.1900874E-01  4.4038479E+00
  1.1934181E-01  4.4115095E+00
  1.1967489E-01  4.4191663E+00
  1.2000797E-01  4.4268183E+00
  1.2034105E-01  4.4344656E+00
  1.2067412E-01  4.4421081E+00
  1.2100720E-01  4.4497459E+00
  1.2134028E-01  4.4573790E+00
  1.2167336E-01  4.4650073E+00
  1.2200644E-01  4.4726309E+00
  1.2233951E-01  4.4802497E+00
  1.2267259E-01  4.4878638E+00
  1.2300567E-01  4.4954732E+00
  1.2333875E-01  4.5030779E+00
  1.2367182E-01  4.5106779E+00
  1.2400490E-01  4.5182732E+00
  1.2433798E-01  4.5258637E+00
  1.2467106E-01  4.5334496E+00
  1.2500413E-01  4.5410308E+00
  1.2533721E-01  4.5486073E+00
  1.2567029E-01  4.5561791E+00
  1.2600337E-01  4.5637463E+00
  1.2633645E-01  4.5713088E+00
  1.2666952E-01  4.5788666E+00
  1.2700260E-01  4.5864198E+00
  1.2733568E-01  4.5939683E+00
  1.2766876E-01  4.6015121E+00
  1.2800183E-01  4.6090513E+00
  1.2833491E-01  4.6165859E+00
  1.2866799E-01  4.6241159E+00
  1.2900107E-01  4.6316412E+00
  1.2933414E-01  4.6391619E+00
  1.2966722E-01  4.6466779E+00
  1.3000030E-01  4.6541894E+00
  1.3033338E-01  4.6616962E+00
  1.3066646E-01  4.6691985E+00
  1.3099953E-01  4.6766961E+00
  1.3133261E-01  4.6841892E+00
  1.3166569E-01  4.6916776E+00
  1.3199877E-01  4.6991615E+00
  1.3233184E-01  4.7066408E+00
  1.3266492E-01  4.7141155E+00
  1.3299800E-01  4.7215856E+00
  1.3333108E-01  4.7290512E+00
  1.3366415E-01  4.7365122E+00
  1.3399723E-01  4.7439687E+00
  1.3433031E-01  4.7514206E+00
  1.3466339E-01  4.7588679E+00
  1.3499647E-01  4.7663108E+00
  1.3532954E-01  4.7737490E+00
  1.3566262E-01  4.7811828E+00
  1.3599570E-01  4.7886120E+00
  1.3632878E-01  4.7960367E+00
  1.3666185E-01  4.8034569E+00
  1.3699493E-01  4.8108726E+00
  1.3732801E-01  4.8182837E+00
  1.3766109E-01  4.8256904E+00
  1.3799416E-01  4.8330926E+00
  1.3832724E-01  4.8404903E+00
  1.3866032E-01  4.8478834E+00
  1.3899340E-01  4.8552721E+00
  1.3932648E-01  4.8626564E+00
  1.3965955E-01  4.8700361E+00
  1.3999263E-01  4.8774114E+00
  1.4032571E-01  4.8847822E+00
  1.4065879E-01  4.8921486E+00
  1.4099186E-01  4.8995105E+00
  1.4132494E-01  4.9068679E+00
  1.4165802E-01  4.9142209E+00
  1.4199110E-01  4.9215695E+00
  1.4232417E-01  4.9289136E+00
  1.4265725E-01  4.9362533E+00
  1.4299033E-01  4.9435886E+00
  1.4332341E-01  4.9509195E+00
  1.4365649E-01  4.9582459E+00
  1.4398956E-01  4.9655679E+00
  1.4432264E-01  4.9728855E+00
  1.4465572E-01  4.9801988E+00
  1.4498880E-01  4.9875076E+00
  1.4532187E-01  4.9948120E+00
  1.4565495E-01  5.0021120E+00
  1.4598803E-01  5.0094077E+00
  1.4632111E-01  5.0166990E+00
  1.4665418E-01  5.0239859E+00
  1.4698726E-01  5.0312684E+00
  1.4732034E-01  5.0385466E+00
  1.4765342E-01  5.0458204E+00
  1.4798650E-01  5.0530898E+00
  1.4831957E-01  5.0603550E+00
  1.4865265E-01  5.0676157E+00
